00:00:00,D1,MP30,00:00:00,(16.4000137,48.2004411),(16.3278219,48.2093867),1
00:00:00,D2,MP30,00:00:02,(16.3238329,48.1844888),(16.3568112,48.2091057),1
00:00:00,D3,MP30,00:00:04,(16.3957524,48.1906417),(16.3934696,48.2106707),1
00:00:00,D4,MP30,00:00:06,(16.3949545,48.2100031),(16.3230146,48.1954054),1
00:00:00,D5,MP30,00:00:08,(16.3325194,48.1875556),(16.3111156,48.2159631),1
00:00:00,D6,MP30,00:00:10,(16.4128982,48.2197625),(16.3835243,48.2155218),1
00:00:00,D7,MP30,00:00:12,(16.3622537,48.2104871),(16.3736957,48.201488),1
00:00:00,D8,MP30,00:00:14,(16.316536,48.2251788),(16.3281961,48.2156368),1
00:00:00,D9,MP30,00:00:16,(16.4200729,48.2124032),(16.3498014,48.2250679),1
00:00:00,D10,MP30,00:00:18,(16.3531542,48.1709236),(16.3360195,48.2219915),1
00:00:00,D11,MP30,00:00:20,(16.3961735,48.2327145),(16.3512745,48.2269535),1
00:00:00,D12,MP30,00:00:22,(16.3897373,48.2342801),(16.3754319,48.2022254),1
00:00:00,D13,MP30,00:00:24,(16.3736667,48.1791256),(16.3899171,48.2208039),1
00:00:00,D14,MP30,00:00:26,(16.3919681,48.2120583),(16.3669104,48.1857986),1
00:00:00,D15,MP30,00:00:28,(16.3363267,48.1903345),(16.3154164,48.2120996),1
00:00:00,D16,MP30,00:00:31,(16.3262207,48.2122484),(16.3832341,48.2044725),1
00:00:00,D17,MP30,00:00:33,(16.3643064,48.2175283),(16.3351329,48.182767),1
00:00:00,D18,MP30,00:00:35,(16.3795144,48.1980943),(16.3548042,48.1829276),1
00:00:00,D19,MP30,00:00:37,(16.3753189,48.2208545),(16.3682986,48.1875399),1
00:00:00,D20,MP30,00:00:39,(16.3062798,48.197634),(16.3275343,48.2012232),1
00:00:00,D21,MP30,00:00:41,(16.3108551,48.2187931),(16.3591448,48.1938682),1
00:00:00,D22,MP30,00:00:43,(16.3744354,48.1640369),(16.3500407,48.211809),1
00:00:00,D23,MP30,00:00:45,(16.3845863,48.2044097),(16.3827294,48.1749847),1
00:00:00,D24,MP30,00:00:47,(16.3435353,48.1781428),(16.3401339,48.1905013),1
00:00:00,D25,MP30,00:00:49,(16.3679711,48.2148644),(16.3873047,48.1982482),1
00:00:00,D26,MP30,00:00:51,(16.3829226,48.2420223),(16.3590241,48.2132767),1
00:00:00,D27,MP30,00:00:53,(16.3133036,48.2224092),(16.3132153,48.1980679),1
00:00:00,D28,MP30,00:00:55,(16.3718144,48.1863659),(16.4028921,48.1997868),1
00:00:00,D29,MP30,00:00:57,(16.3891573,48.1981332),(16.3631112,48.2151288),1
00:00:00,D30,MP30,00:00:59,(16.3189024,48.2134952),(16.3118504,48.1956882),1
00:00:00,D31,MP30,00:01:00,(16.3799464,48.1745303),(16.3219406,48.1937455),1
00:00:00,D32,MP30,00:01:02,(16.3674695,48.1794572),(16.3109473,48.1967066),1
00:00:00,D33,MP30,00:01:04,(16.4010161,48.190523),(16.3562931,48.2173624),1
00:00:00,D34,MP30,00:01:06,(16.3127818,48.1944281),(16.3275986,48.189062),1
00:00:00,D35,MP30,00:01:08,(16.338667,48.2115728),(16.3421576,48.1799217),1
00:00:00,D36,MP30,00:01:10,(16.3744838,48.1685097),(16.3553096,48.2123606),1
00:00:00,D37,MP30,00:01:12,(16.3323483,48.1789479),(16.3842185,48.1885167),1
00:00:00,D38,MP30,00:01:14,(16.3339989,48.2025667),(16.3495107,48.2132756),1
00:00:00,D39,MP30,00:01:16,(16.3182676,48.222569),(16.3624549,48.1945462),1
00:00:00,D40,MP30,00:01:18,(16.3848201,48.1756866),(16.3479038,48.1886279),1
00:00:00,D41,MP30,00:01:20,(16.3749816,48.2156551),(16.3239081,48.2370071),1
00:00:00,D42,MP30,00:01:22,(16.3331633,48.2267511),(16.3109473,48.1967066),1
